time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Bragantino,Grêmio,sáb.,18:30,3.85,3.8,345
Fluminense,Atlético-MG,sáb.,18:30,1.22,5.5,421
Internacional,Botafogo,sáb.,18:30,4.9,3.95,360
Corinthians,Mirassol,sáb.,21:00,3.8,3.55,267
São Paulo,Palmeiras,dom.,16:00,1.57,3.8,303
Vasco,Vitória,dom.,16:00,1.16,6.5,293
Bahia,Flamengo,dom.,18:30,2.12,3.45,295
Juventude,Fortaleza,dom.,18:30,5.3,3.95,272
Ceará,Santos,dom.,20:30,4.6,3.65,269
Cruzeiro,Sport,dom.,20:30,15.0,10.5,278
