time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Corinthians,Atlético-MG,sáb.,18:30,3.8,3.45,414
Internacional,Sport,sáb.,18:30,2.7,3.35,358
Cruzeiro,Fortaleza,sáb.,21:00,8.5,6.25,349
Ceará,Botafogo,dom.,16:00,1.44,4.1,313
Flamengo,Palmeiras,dom.,16:00,8.5,5.5,324
Mirassol,São Paulo,dom.,16:00,1.37,4.4,309
Bahia,Grêmio,dom.,20:30,3.15,3.5,302
Juventude,Bragantino,seg.,19:00,13.0,7.5,318
Vasco,Fluminense,seg.,19:30,13.0,7.5,333
Santos,Vitória,seg.,21:30,5.8,4.6,291
