time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Mirassol,Bragantino,qua.,19:00,3.25,3.6,382
Palmeiras,Vasco,qua.,19:00,1.06,9.5,455
Sport,Fluminense,qua.,19:00,17.0,9.0,382
Internacional,Corinthians,qua.,19:30,1.26,5.1,376
Botafogo,Bahia,qua.,21:30,1.2,5.8,372
Santos,Grêmio,qua.,21:30,1.27,5.0,373
Vitória,Ceará,qui.,19:00,1.34,4.5,367
Fortaleza,São Paulo,qui.,19:30,1.13,7.5,355
Flamengo,Cruzeiro,qui.,20:30,1.13,7.0,388
Bragantino,Grêmio,sáb.,18:30,4.3,3.8,271
Fluminense,Atlético-MG,sáb.,18:30,1.19,5.8,327
Internacional,Botafogo,sáb.,18:30,5.3,4.0,287
Corinthians,Mirassol,sáb.,21:00,4.1,3.6,263
São Paulo,Palmeiras,dom.,16:00,1.53,3.9,302
Vasco,Vitória,dom.,16:00,1.2,5.8,288
Bahia,Flamengo,dom.,18:30,1.91,3.55,302
Juventude,Fortaleza,dom.,18:30,5.3,4.0,277
Ceará,Santos,dom.,20:30,4.6,3.6,266
Cruzeiro,Sport,dom.,20:30,13.0,10.0,288
