time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Palmeiras,Bragantino,qua.,19:00,1.09,6.25,420
Botafogo,Flamengo,qua.,19:30,2.48,1.49,403
Mirassol,Internacional,qua.,20:00,1.54,2.35,370
Sport,Ceará,qua.,20:00,1.64,2.15,388
Atlético-MG,Cruzeiro,qua.,21:30,1.95,1.78,413
Fortaleza,Vasco,qua.,21:30,1.57,2.28,384
Santos,Corinthians,qua.,21:30,1.53,2.38,370
Grêmio,São Paulo,qui.,19:00,1.95,1.78,299
Fluminense,Juventude,qui.,21:30,1.09,6.25,365
Vitória,Bahia,qui.,21:30,2.0,1.73,312
Corinthians,Atlético-MG,sáb.,18:30,1.43,2.65,327
Internacional,Sport,sáb.,18:30,1.2,4.1,310
Cruzeiro,Fortaleza,sáb.,21:00,1.2,4.1,310
Ceará,Botafogo,dom.,16:00,1.84,1.88,319
Flamengo,Palmeiras,dom.,16:00,1.37,2.88,328
Mirassol,São Paulo,dom.,16:00,1.7,2.05,316
Bahia,Grêmio,dom.,20:30,1.36,2.9,303
Juventude,Bragantino,20 de out.,19:00,1.83,1.9,325
Vasco,Fluminense,20 de out.,19:30,1.93,1.81,334
Santos,Vitória,20 de out.,21:30,1.27,3.45,318
