time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Sport,qua.,19:00,5.8,4.7,350
Mirassol,Fluminense,qua.,21:00,10.5,6.4,318
Palmeiras,Juventude,sáb.,19:00,8.5,7.5,349
Palmeiras,Bragantino,15 de out.,19:00,4.1,4.1,353
Botafogo,Flamengo,15 de out.,19:30,8.0,4.9,326
Mirassol,Internacional,15 de out.,20:00,1.07,10.0,303
Sport,Ceará,15 de out.,20:00,4.75,3.75,324
Atlético-MG,Cruzeiro,15 de out.,21:30,5.8,4.1,337
Fortaleza,Vasco,15 de out.,21:30,4.7,3.8,306
Santos,Corinthians,15 de out.,21:30,4.5,3.6,291
Grêmio,São Paulo,16 de out.,19:00,4.7,3.9,298
Fluminense,Juventude,16 de out.,21:30,4.5,4.1,363
Vitória,Bahia,16 de out.,21:30,1.52,4.0,336
