time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Botafogo,Mirassol,qua.,19:30,2.75,3.4,362
Vitória,Fluminense,sáb.,16:00,1.45,4.0,297
Botafogo,Atlético-MG,sáb.,18:30,2.75,3.3,315
Ceará,Bahia,sáb.,18:30,1.47,4.0,258
Palmeiras,Fortaleza,sáb.,21:00,2.05,3.55,277
Mirassol,Juventude,dom.,16:00,5.3,4.6,272
Flamengo,Vasco,dom.,17:30,2.08,3.65,268
Internacional,Grêmio,dom.,17:30,3.35,3.55,246
Sport,Corinthians,dom.,17:30,1.45,4.0,239
Cruzeiro,Bragantino,dom.,20:30,5.2,4.4,300
Santos,São Paulo,dom.,20:30,1.38,4.4,272
