time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Bragantino,Corinthians,qua.,19:00,11.0,6.5,331
Sport,Juventude,qua.,19:00,14.0,9.0,335
Vitória,Internacional,qua.,19:00,5.1,4.0,315
Botafogo,Vasco,qua.,19:30,1.24,5.4,332
Atlético-MG,Bahia,qua.,20:00,9.5,6.1,351
Grêmio,Cruzeiro,qua.,20:00,1.58,3.8,311
São Paulo,Flamengo,qua.,21:30,1.8,3.5,290
Fluminense,Mirassol,qui.,19:30,7.0,5.2,348
Ceará,Fortaleza,qui.,20:00,4.5,3.75,303
Palmeiras,Santos,qui.,21:30,3.75,4.1,344
