time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,sáb.,16:00,1.13,5.2,305
Santos,Fortaleza,sáb.,16:00,1.3,3.25,304
Mirassol,Botafogo,sáb.,18:00,1.52,2.4,294
Flamengo,Sport,sáb.,21:00,1.04,10.0,299
Bahia,Bragantino,dom.,16:00,1.29,3.35,314
Ceará,Fluminense,dom.,16:00,1.82,1.9,347
Corinthians,Grêmio,dom.,16:00,1.29,3.3,317
Internacional,Atlético-MG,dom.,18:30,1.41,2.7,308
Juventude,Palmeiras,dom.,18:30,4.7,1.16,346
Vasco,São Paulo,dom.,20:30,1.54,2.33,305
Bragantino,Corinthians,5 de nov.,19:00,1.58,2.25,335
Sport,Juventude,5 de nov.,19:00,1.34,3.05,336
Vitória,Internacional,5 de nov.,19:00,1.75,1.98,319
Botafogo,Vasco,5 de nov.,19:30,1.4,2.75,344
Atlético-MG,Bahia,5 de nov.,20:00,1.55,2.33,349
Grêmio,Cruzeiro,5 de nov.,20:00,2.18,1.62,321
São Paulo,Flamengo,5 de nov.,21:30,2.75,1.4,301
Fluminense,Mirassol,6 de nov.,19:30,1.38,2.85,351
Ceará,Fortaleza,6 de nov.,20:00,1.6,2.23,316
Palmeiras,Santos,6 de nov.,21:30,1.12,5.4,348
