time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Grêmio,Botafogo,qua.,19:30,2.07,1.68,250
Vasco,Bahia,qua.,19:30,1.62,2.18,281
Fortaleza,Sport,sáb.,16:00,1.28,3.35,258
Juventude,Internacional,sáb.,18:30,2.55,1.47,243
Vasco,Cruzeiro,sáb.,18:30,2.0,1.74,274
Atlético-MG,Mirassol,sáb.,21:00,1.6,2.23,308
Grêmio,Vitória,dom.,11:00,1.24,3.75,271
Bahia,Palmeiras,dom.,16:00,1.88,1.84,277
Fluminense,Botafogo,dom.,16:00,1.66,2.1,300
Bragantino,Santos,dom.,18:30,1.54,2.33,291
Corinthians,Flamengo,dom.,20:30,2.88,1.37,269
São Paulo,Ceará,29 de set.,20:00,1.19,4.2,292
Atlético-MG,Juventude,30 de set.,21:30,1.13,5.1,325
Mirassol,Bragantino,1 de out.,19:00,1.49,2.48,284
Palmeiras,Vasco,1 de out.,19:00,1.09,6.1,317
Sport,Fluminense,1 de out.,19:00,1.98,1.76,283
Internacional,Corinthians,1 de out.,19:30,1.5,2.43,266
Botafogo,Bahia,1 de out.,21:30,1.4,2.75,283
Santos,Grêmio,1 de out.,21:30,1.52,2.4,277
Vitória,Ceará,2 de out.,19:00,1.62,2.18,284
Fortaleza,São Paulo,2 de out.,19:30,1.88,1.85,291
Flamengo,Cruzeiro,2 de out.,20:30,1.26,3.55,303
