time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Fortaleza,Vitória,sáb.,16:00,1.37,2.88,355
Grêmio,Mirassol,sáb.,16:00,1.58,2.25,315
Palmeiras,Internacional,sáb.,18:30,1.22,3.9,311
Fluminense,Corinthians,sáb.,21:00,1.42,2.7,310
Bragantino,Sport,dom.,11:00,1.38,2.85,255
Atlético-MG,Santos,dom.,16:00,1.36,2.95,306
Juventude,Flamengo,dom.,16:00,5.3,1.12,283
São Paulo,Botafogo,dom.,17:30,1.5,2.43,248
Vasco,Ceará,dom.,20:30,1.33,3.05,290
Bahia,Cruzeiro,seg.,20:00,1.58,2.23,277
Botafogo,Mirassol,17 de set.,19:30,1.23,3.75,283
Vitória,Fluminense,20 de set.,16:00,1.73,2.02,293
Botafogo,Atlético-MG,20 de set.,18:30,1.2,4.1,308
Ceará,Bahia,20 de set.,18:30,1.89,1.83,256
Palmeiras,Fortaleza,20 de set.,21:00,1.1,6.0,267
Mirassol,Juventude,21 de set.,16:00,1.21,4.0,262
Flamengo,Vasco,21 de set.,17:30,1.18,4.4,271
Internacional,Grêmio,21 de set.,17:30,1.37,2.9,259
Sport,Corinthians,21 de set.,17:30,1.92,1.8,251
Cruzeiro,Bragantino,21 de set.,20:30,1.19,4.2,293
Santos,São Paulo,21 de set.,20:30,1.7,2.05,268
