time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Juventude,Bragantino,seg.,19:00,14.0,8.0,429
Vasco,Fluminense,seg.,19:30,15.0,8.5,468
Santos,Vitória,seg.,21:30,5.0,4.35,442
Bahia,Internacional,qua.,19:00,7.5,5.2,333
Atlético-MG,Ceará,sáb.,16:00,3.6,3.35,348
Vitória,Corinthians,sáb.,16:00,1.55,3.85,334
Fluminense,Internacional,sáb.,17:30,19.0,11.0,346
Sport,Mirassol,sáb.,18:30,13.0,7.5,314
Fortaleza,Flamengo,sáb.,19:30,1.45,4.4,305
São Paulo,Bahia,sáb.,21:30,1.26,5.1,332
Botafogo,Santos,26 de out.,16:00,3.1,3.4,328
Grêmio,Juventude,26 de out.,16:00,12.5,8.5,354
Bragantino,Vasco,26 de out.,18:30,1.43,4.35,338
Palmeiras,Cruzeiro,26 de out.,20:30,2.7,3.5,347
