time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Fortaleza,qua.,20:30,1.23,3.65,379
Sport,Flamengo,sáb.,18:30,7.5,1.05,273
Santos,Palmeiras,sáb.,21:00,2.55,1.44,292
Bragantino,Atlético-MG,dom.,19:00,1.57,2.23,275
Botafogo,Sport,18 de nov.,20:30,1.1,5.6,285
Palmeiras,Vitória,19 de nov.,19:30,1.06,7.0,295
Fluminense,Flamengo,19 de nov.,21:30,2.5,1.45,251
Grêmio,Vasco,19 de nov.,21:30,1.58,2.2,250
Santos,Mirassol,19 de nov.,21:30,1.56,2.25,292
Juventude,Cruzeiro,20 de nov.,16:00,2.85,1.36,250
Bahia,Fortaleza,20 de nov.,18:00,1.24,3.5,289
Corinthians,São Paulo,20 de nov.,19:30,1.45,2.5,242
Ceará,Internacional,20 de nov.,21:30,1.55,2.28,239
