time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Palmeiras,Bragantino,qua.,19:00,1.09,6.25,332
Botafogo,Flamengo,qua.,19:30,2.43,1.5,318
Mirassol,Internacional,qua.,20:00,1.54,2.35,300
Sport,Ceará,qua.,20:00,1.63,2.17,306
Atlético-MG,Cruzeiro,qua.,21:30,1.87,1.85,325
Fortaleza,Vasco,qua.,21:30,1.57,2.28,307
Santos,Corinthians,qua.,21:30,1.53,2.38,284
Grêmio,São Paulo,qui.,19:00,1.87,1.88,291
Fluminense,Juventude,qui.,21:30,1.13,5.3,362
Vitória,Bahia,qui.,21:30,2.02,1.72,309
Corinthians,Atlético-MG,sáb.,18:30,1.43,2.65,327
Internacional,Sport,sáb.,18:30,1.2,4.1,310
Cruzeiro,Fortaleza,sáb.,21:00,1.2,4.1,310
Ceará,Botafogo,19 de out.,16:00,1.84,1.88,319
Flamengo,Palmeiras,19 de out.,16:00,1.37,2.88,328
Mirassol,São Paulo,19 de out.,16:00,1.7,2.05,316
Bahia,Grêmio,19 de out.,20:30,1.36,2.9,303
Juventude,Bragantino,20 de out.,19:00,1.83,1.9,325
Vasco,Fluminense,20 de out.,19:30,1.93,1.81,334
Santos,Vitória,20 de out.,21:30,1.27,3.45,318
