time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Juventude,ter.,21:30,2.7,3.25,410
Mirassol,Bragantino,qua.,19:00,3.35,3.55,376
Palmeiras,Vasco,qua.,19:00,1.06,10.0,445
Sport,Fluminense,qua.,19:00,16.0,8.5,389
Internacional,Corinthians,qua.,19:30,1.28,5.0,370
Botafogo,Bahia,qua.,21:30,1.21,5.75,368
Santos,Grêmio,qua.,21:30,1.26,5.1,374
Vitória,Ceará,qui.,19:00,1.33,4.5,281
Fortaleza,São Paulo,qui.,19:30,1.13,7.5,282
Flamengo,Cruzeiro,qui.,20:30,1.14,6.75,301
Bragantino,Grêmio,sáb.,18:30,4.3,3.85,273
Fluminense,Atlético-MG,sáb.,18:30,1.18,6.0,326
Internacional,Botafogo,sáb.,18:30,5.4,4.1,284
Corinthians,Mirassol,sáb.,21:00,4.1,3.6,263
São Paulo,Palmeiras,dom.,16:00,1.5,3.9,304
Vasco,Vitória,dom.,16:00,1.19,5.8,285
Bahia,Flamengo,dom.,18:30,1.91,3.55,302
Juventude,Fortaleza,dom.,18:30,5.5,4.1,277
Ceará,Santos,dom.,20:30,4.6,3.6,266
Cruzeiro,Sport,dom.,20:30,13.0,9.5,287
