time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,sáb.,16:00,1.12,5.3,413
Santos,Fortaleza,sáb.,16:00,1.26,3.55,442
Mirassol,Botafogo,sáb.,18:00,1.61,2.2,417
Flamengo,Sport,sáb.,21:00,1.03,10.5,439
Bahia,Bragantino,dom.,16:00,1.25,3.6,453
Ceará,Fluminense,dom.,16:00,1.91,1.78,466
Corinthians,Grêmio,dom.,16:00,1.25,3.55,468
Internacional,Atlético-MG,dom.,18:30,1.41,2.7,431
Juventude,Palmeiras,dom.,18:30,4.6,1.17,490
Vasco,São Paulo,dom.,20:30,1.49,2.48,455
Bragantino,Corinthians,qua.,19:00,1.58,2.25,335
Sport,Juventude,qua.,19:00,1.33,3.05,336
Vitória,Internacional,qua.,19:00,1.74,2.0,316
Botafogo,Vasco,qua.,19:30,1.4,2.75,336
Atlético-MG,Bahia,qua.,20:00,1.55,2.33,349
Grêmio,Cruzeiro,qua.,20:00,2.15,1.63,312
São Paulo,Flamengo,qua.,21:30,2.8,1.38,302
Fluminense,Mirassol,qui.,19:30,1.38,2.8,347
Ceará,Fortaleza,qui.,20:00,1.6,2.23,307
Palmeiras,Santos,qui.,21:30,1.12,5.4,348
