time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Mirassol,Juventude,dom.,16:00,1.16,4.6,390
Flamengo,Vasco,dom.,17:30,1.1,5.8,399
Internacional,Grêmio,dom.,17:30,1.38,2.85,353
Sport,Corinthians,dom.,17:30,1.95,1.78,353
Cruzeiro,Bragantino,dom.,20:30,1.16,4.6,448
Santos,São Paulo,dom.,20:30,1.53,2.38,409
Grêmio,Botafogo,qua.,19:30,2.12,1.65,270
Vasco,Bahia,qua.,19:30,1.68,2.08,283
Fortaleza,Sport,27 de set.,16:00,1.3,3.25,260
Juventude,Internacional,27 de set.,18:30,2.55,1.47,257
Vasco,Cruzeiro,27 de set.,18:30,1.98,1.75,282
Atlético-MG,Mirassol,27 de set.,21:00,1.43,2.65,305
Grêmio,Vitória,28 de set.,11:00,1.25,3.6,275
Bahia,Palmeiras,28 de set.,16:00,1.88,1.84,277
Fluminense,Botafogo,28 de set.,16:00,1.66,2.1,300
Bragantino,Santos,28 de set.,18:30,1.5,2.4,294
Corinthians,Flamengo,28 de set.,20:30,2.7,1.42,277
São Paulo,Ceará,29 de set.,20:00,1.2,4.1,296
