time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Sport,qua.,19:00,1.22,3.9,352
Mirassol,Fluminense,qua.,21:00,1.6,2.23,320
Palmeiras,Juventude,sáb.,19:00,1.06,8.0,326
Palmeiras,Bragantino,15 de out.,19:00,1.14,5.0,353
Botafogo,Flamengo,15 de out.,19:30,2.48,1.48,317
Mirassol,Internacional,15 de out.,20:00,1.52,2.38,303
Sport,Ceará,15 de out.,20:00,1.63,2.17,324
Atlético-MG,Cruzeiro,15 de out.,21:30,1.87,1.85,335
Fortaleza,Vasco,15 de out.,21:30,1.62,2.2,297
Santos,Corinthians,15 de out.,21:30,1.53,2.38,284
Grêmio,São Paulo,16 de out.,19:00,1.73,2.02,291
Fluminense,Juventude,16 de out.,21:30,1.14,5.0,363
Vitória,Bahia,16 de out.,21:30,2.02,1.72,309
Corinthians,Atlético-MG,18 de out.,18:30,1.44,2.63,331
Internacional,Sport,18 de out.,18:30,1.19,4.2,314
Cruzeiro,Fortaleza,18 de out.,21:00,1.19,4.2,316
Ceará,Botafogo,19 de out.,16:00,1.94,1.79,320
Mirassol,São Paulo,19 de out.,16:00,1.62,2.18,315
Flamengo,Palmeiras,19 de out.,18:30,1.36,2.95,324
Bahia,Grêmio,19 de out.,20:30,1.36,2.9,303
Juventude,Bragantino,20 de out.,19:00,1.82,1.9,324
Vasco,Fluminense,20 de out.,19:30,1.74,2.0,334
Santos,Vitória,20 de out.,21:30,1.27,3.45,318
