time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Vitória,Fluminense,sáb.,16:00,1.44,4.1,381
Botafogo,Atlético-MG,sáb.,18:30,2.75,3.3,401
Ceará,Bahia,sáb.,18:30,1.46,4.0,314
Palmeiras,Fortaleza,sáb.,21:00,2.05,3.55,277
Mirassol,Juventude,dom.,16:00,5.3,4.5,272
Flamengo,Vasco,dom.,17:30,2.02,3.65,273
Internacional,Grêmio,dom.,17:30,3.05,3.5,235
Sport,Corinthians,dom.,17:30,1.45,4.0,239
Cruzeiro,Bragantino,dom.,20:30,4.9,4.35,301
Santos,São Paulo,dom.,20:30,1.38,4.4,272
Grêmio,Botafogo,24 de set.,19:30,1.17,6.5,281
Vasco,Bahia,24 de set.,19:30,1.41,4.3,284
Fortaleza,Sport,27 de set.,16:00,15.0,9.5,259
Juventude,Internacional,27 de set.,18:30,21.0,10.5,257
Vasco,Cruzeiro,27 de set.,18:30,1.15,7.0,282
Atlético-MG,Mirassol,27 de set.,21:00,1.26,5.1,304
Grêmio,Vitória,28 de set.,11:00,14.0,9.0,272
Bahia,Palmeiras,28 de set.,16:00,5.75,4.1,279
Fluminense,Botafogo,28 de set.,16:00,4.8,3.85,309
Bragantino,Santos,28 de set.,18:30,1.28,5.0,288
Corinthians,Flamengo,28 de set.,20:30,1.25,5.6,277
São Paulo,Ceará,29 de set.,20:00,1.12,7.0,299
