time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,sáb.,16:00,1.13,5.2,384
Santos,Fortaleza,sáb.,16:00,1.27,3.5,400
Mirassol,Botafogo,sáb.,18:00,1.52,2.4,369
Flamengo,Sport,sáb.,21:00,1.04,10.0,382
Bahia,Bragantino,dom.,16:00,1.29,3.35,317
Ceará,Fluminense,dom.,16:00,1.83,1.9,337
Corinthians,Grêmio,dom.,16:00,1.29,3.35,320
Internacional,Atlético-MG,dom.,18:30,1.43,2.65,311
Juventude,Palmeiras,dom.,18:30,4.7,1.16,349
Vasco,São Paulo,dom.,20:30,1.54,2.33,308
Bragantino,Corinthians,qua.,19:00,1.58,2.25,335
Sport,Juventude,qua.,19:00,1.34,3.05,336
Vitória,Internacional,qua.,19:00,1.75,1.98,319
Botafogo,Vasco,qua.,19:30,1.4,2.75,344
Atlético-MG,Bahia,qua.,20:00,1.55,2.33,349
Grêmio,Cruzeiro,qua.,20:00,2.18,1.62,321
São Paulo,Flamengo,qua.,21:30,2.75,1.4,301
Fluminense,Mirassol,6 de nov.,19:30,1.38,2.85,351
Ceará,Fortaleza,6 de nov.,20:00,1.6,2.23,316
Palmeiras,Santos,6 de nov.,21:30,1.12,5.4,348
