time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Bragantino,Corinthians,qua.,19:00,1.72,2.02,434
Sport,Juventude,qua.,19:00,1.3,3.25,416
Vitória,Internacional,qua.,19:00,1.68,2.08,376
Botafogo,Vasco,qua.,19:30,1.37,2.9,392
Atlético-MG,Bahia,qua.,20:00,1.54,2.35,450
Grêmio,Cruzeiro,qua.,20:00,2.17,1.63,389
São Paulo,Flamengo,qua.,21:30,2.75,1.4,359
Fluminense,Mirassol,qui.,19:30,1.34,3.05,338
Ceará,Fortaleza,qui.,20:00,1.61,2.2,306
Palmeiras,Santos,qui.,21:30,1.11,5.6,351
Sport,Atlético-MG,sáb.,16:00,1.93,1.79,364
Vasco,Juventude,sáb.,18:00,1.11,5.5,357
Internacional,Bahia,sáb.,18:30,1.55,2.32,326
São Paulo,Bragantino,sáb.,21:00,1.26,3.55,339
Corinthians,Ceará,dom.,16:00,1.22,3.85,342
Cruzeiro,Fluminense,dom.,16:00,1.35,2.95,324
Vitória,Botafogo,dom.,16:00,2.14,1.65,314
Flamengo,Santos,dom.,18:30,1.09,6.4,329
Fortaleza,Grêmio,dom.,20:30,1.48,2.5,341
Mirassol,Palmeiras,dom.,20:30,2.43,1.5,343
