time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Fortaleza,Sport,sáb.,16:00,1.29,3.35,263
Juventude,Internacional,sáb.,18:30,2.55,1.46,244
Vasco,Cruzeiro,sáb.,18:30,1.98,1.75,277
Atlético-MG,Mirassol,sáb.,21:00,1.6,2.23,317
Grêmio,Vitória,dom.,11:00,1.25,3.6,274
Bahia,Palmeiras,dom.,16:00,2.0,1.74,274
Fluminense,Botafogo,dom.,16:00,1.67,2.1,298
Bragantino,Santos,dom.,18:30,1.54,2.33,293
Corinthians,Flamengo,dom.,20:30,2.95,1.36,276
São Paulo,Ceará,seg.,20:00,1.19,4.2,294
Atlético-MG,Juventude,ter.,21:30,1.13,5.1,325
Mirassol,Bragantino,1 de out.,19:00,1.49,2.48,284
Palmeiras,Vasco,1 de out.,19:00,1.09,6.1,317
Sport,Fluminense,1 de out.,19:00,1.98,1.75,283
Internacional,Corinthians,1 de out.,19:30,1.5,2.43,266
Botafogo,Bahia,1 de out.,21:30,1.41,2.75,279
Santos,Grêmio,1 de out.,21:30,1.46,2.55,277
Vitória,Ceará,2 de out.,19:00,1.62,2.18,284
Fortaleza,São Paulo,2 de out.,19:30,1.88,1.85,291
Flamengo,Cruzeiro,2 de out.,20:30,1.26,3.55,303
