time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Vitória,Ceará,qui.,19:00,1.33,4.6,416
Fortaleza,São Paulo,qui.,19:30,1.13,7.0,405
Flamengo,Cruzeiro,qui.,20:30,1.13,6.75,435
Bragantino,Grêmio,sáb.,18:30,4.0,3.75,275
Fluminense,Atlético-MG,sáb.,18:30,1.22,5.4,324
Internacional,Botafogo,sáb.,18:30,5.3,4.0,289
Corinthians,Mirassol,sáb.,21:00,4.0,3.65,268
São Paulo,Palmeiras,dom.,16:00,1.53,3.9,304
Vasco,Vitória,dom.,16:00,1.16,6.4,290
Bahia,Flamengo,dom.,18:30,2.1,3.45,305
Juventude,Fortaleza,dom.,18:30,4.7,3.8,272
Ceará,Santos,dom.,20:30,4.5,3.65,271
Cruzeiro,Sport,dom.,20:30,13.0,9.5,294
