time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Botafogo,Santos,dom.,16:00,3.35,3.45,440
Grêmio,Juventude,dom.,16:00,14.0,9.0,466
Bragantino,Vasco,dom.,18:30,1.3,4.9,459
Palmeiras,Cruzeiro,dom.,20:30,3.15,3.55,481
Fluminense,Ceará,qua.,19:00,2.9,3.4,342
Cruzeiro,Vitória,1 de nov.,16:00,2.23,3.5,319
Santos,Fortaleza,1 de nov.,16:00,14.0,9.0,303
Mirassol,Botafogo,1 de nov.,18:00,1.06,10.0,306
Flamengo,Sport,1 de nov.,21:00,4.2,4.7,324
Bahia,Bragantino,2 de nov.,16:00,5.8,4.8,326
Ceará,Fluminense,2 de nov.,16:00,1.42,4.2,347
Corinthians,Grêmio,2 de nov.,16:00,3.35,3.45,328
Internacional,Atlético-MG,2 de nov.,18:30,1.22,5.6,321
Juventude,Palmeiras,2 de nov.,18:30,16.0,9.0,360
Vasco,São Paulo,2 de nov.,20:30,4.2,3.65,322
