time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
São Paulo,Ceará,seg.,20:00,1.13,7.0,409
Atlético-MG,Juventude,ter.,21:30,2.48,3.35,299
Mirassol,Bragantino,qua.,19:00,3.55,3.65,285
Palmeiras,Vasco,qua.,19:00,1.06,10.0,316
Sport,Fluminense,qua.,19:00,16.0,8.5,275
Internacional,Corinthians,qua.,19:30,1.3,4.8,264
Botafogo,Bahia,qua.,21:30,1.21,5.5,276
Santos,Grêmio,qua.,21:30,1.26,5.0,266
Vitória,Ceará,qui.,19:00,1.33,4.5,282
Fortaleza,São Paulo,qui.,19:30,1.12,7.5,283
Flamengo,Cruzeiro,qui.,20:30,1.16,6.25,303
