time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Sport,Atlético-MG,sáb.,16:00,0.5,0.5,507
Vasco,Juventude,sáb.,18:00,1.5,1.5,495
Internacional,Bahia,sáb.,18:30,0.5,0.5,429
São Paulo,Bragantino,sáb.,21:00,0.5,0.5,460
Corinthians,Ceará,dom.,16:00,0.5,0.5,471
Cruzeiro,Fluminense,dom.,16:00,0.5,0.5,441
Vitória,Botafogo,dom.,16:00,0.5,0.5,437
Flamengo,Santos,dom.,18:30,1.5,1.5,455
Fortaleza,Grêmio,dom.,20:30,0.5,0.5,468
Mirassol,Palmeiras,dom.,20:30,0.5,0.5,476
