time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Ceará,sáb.,16:00,1.3,3.2,481
Vitória,Corinthians,sáb.,16:00,1.76,1.97,453
Fluminense,Internacional,sáb.,17:30,1.3,3.2,450
Sport,Mirassol,sáb.,18:30,1.97,1.76,444
Fortaleza,Flamengo,sáb.,19:30,3.7,1.24,403
São Paulo,Bahia,sáb.,21:30,1.38,2.85,441
Botafogo,Santos,dom.,16:00,1.3,3.25,438
Grêmio,Juventude,dom.,16:00,1.25,3.65,459
Bragantino,Vasco,dom.,18:30,1.55,2.3,454
Palmeiras,Cruzeiro,dom.,20:30,1.33,3.1,473
Fluminense,Ceará,qua.,19:00,1.24,3.7,342
Cruzeiro,Vitória,1 de nov.,16:00,1.13,5.2,319
Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308
Mirassol,Botafogo,1 de nov.,18:00,1.57,2.28,305
Flamengo,Sport,1 de nov.,21:00,1.03,11.5,325
Bahia,Bragantino,2 de nov.,16:00,1.28,3.35,326
Ceará,Fluminense,2 de nov.,16:00,1.82,1.9,347
Corinthians,Grêmio,2 de nov.,16:00,1.33,3.1,330
Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,322
Juventude,Palmeiras,2 de nov.,18:30,5.4,1.12,360
Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,322
