time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Corinthians,Atlético-MG,sáb.,18:30,1.42,2.7,447
Cruzeiro,Fortaleza,sáb.,21:00,1.11,5.75,387
Ceará,Botafogo,dom.,16:00,1.86,1.86,442
Flamengo,Palmeiras,dom.,16:00,1.4,2.8,450
Mirassol,São Paulo,dom.,16:00,1.62,2.15,435
Internacional,Sport,dom.,18:30,1.22,3.9,411
Bahia,Grêmio,dom.,20:30,1.28,3.35,415
Juventude,Bragantino,seg.,19:00,1.83,1.89,433
Vasco,Fluminense,seg.,19:30,2.02,1.72,472
Santos,Vitória,seg.,21:30,1.23,3.8,426
Bahia,Internacional,qua.,19:00,1.38,2.85,333
Atlético-MG,Ceará,25 de out.,16:00,1.34,3.05,354
Vitória,Corinthians,25 de out.,16:00,2.04,1.71,335
Sport,Mirassol,25 de out.,18:30,2.12,1.66,325
Fortaleza,Flamengo,25 de out.,19:30,3.05,1.34,325
Fluminense,Internacional,25 de out.,21:30,1.45,2.6,346
São Paulo,Bahia,25 de out.,21:30,1.44,2.63,340
Botafogo,Santos,26 de out.,16:00,1.3,3.15,328
Bragantino,Vasco,26 de out.,18:30,1.85,1.87,334
Palmeiras,Cruzeiro,26 de out.,20:30,1.27,3.45,348
Grêmio,Juventude,27 de out.,20:00,1.23,3.8,355
