time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Fortaleza,Sport,sáb.,16:00,1.33,3.1,373
Juventude,Internacional,sáb.,18:30,2.6,1.44,336
Vasco,Cruzeiro,sáb.,18:30,2.12,1.64,395
Atlético-MG,Mirassol,sáb.,21:00,1.58,2.23,468
Grêmio,Vitória,dom.,11:00,1.29,3.3,409
Bahia,Palmeiras,dom.,16:00,2.43,1.5,411
Fluminense,Botafogo,dom.,16:00,1.67,2.1,425
Bragantino,Santos,dom.,18:30,1.58,2.23,435
Corinthians,Flamengo,dom.,20:30,3.05,1.33,404
São Paulo,Ceará,seg.,20:00,1.19,4.2,421
Atlético-MG,Juventude,ter.,21:30,1.13,5.2,327
Mirassol,Bragantino,qua.,19:00,1.49,2.48,284
Palmeiras,Vasco,qua.,19:00,1.09,6.25,316
Sport,Fluminense,qua.,19:00,1.98,1.75,283
Internacional,Corinthians,qua.,19:30,1.5,2.43,266
Botafogo,Bahia,qua.,21:30,1.41,2.75,279
Santos,Grêmio,qua.,21:30,1.46,2.55,270
Vitória,Ceará,qui.,19:00,1.62,2.18,284
Fortaleza,São Paulo,qui.,19:30,1.88,1.84,291
Flamengo,Cruzeiro,qui.,20:30,1.26,3.55,305
