time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Vitória,Fluminense,sáb.,16:00,1.83,1.89,381
Botafogo,Atlético-MG,sáb.,18:30,1.21,3.95,383
Ceará,Bahia,sáb.,18:30,1.84,1.88,314
Palmeiras,Fortaleza,sáb.,21:00,1.09,6.25,339
Mirassol,Juventude,dom.,16:00,1.17,4.5,330
Flamengo,Vasco,dom.,17:30,1.11,5.75,332
Internacional,Grêmio,dom.,17:30,1.27,3.45,276
Sport,Corinthians,dom.,17:30,1.95,1.78,304
Cruzeiro,Bragantino,dom.,20:30,1.18,4.35,371
Santos,São Paulo,dom.,20:30,1.71,2.04,315
Grêmio,Botafogo,qua.,19:30,2.15,1.64,270
Vasco,Bahia,qua.,19:30,1.75,1.98,284
Fortaleza,Sport,27 de set.,16:00,1.3,3.25,259
Juventude,Internacional,27 de set.,18:30,2.55,1.47,257
Vasco,Cruzeiro,27 de set.,18:30,1.98,1.75,282
Atlético-MG,Mirassol,27 de set.,21:00,1.44,2.63,304
Grêmio,Vitória,28 de set.,11:00,1.25,3.6,272
Bahia,Palmeiras,28 de set.,16:00,1.88,1.84,279
Fluminense,Botafogo,28 de set.,16:00,1.66,2.1,300
Bragantino,Santos,28 de set.,18:30,1.48,2.5,288
Corinthians,Flamengo,28 de set.,20:30,2.7,1.41,277
São Paulo,Ceará,29 de set.,20:00,1.2,4.1,299
