time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Sport,Atlético-MG,sáb.,16:00,19.0,10.0,448
Vasco,Juventude,sáb.,18:00,2.1,3.6,443
Internacional,Bahia,sáb.,18:30,1.08,9.5,388
São Paulo,Bragantino,sáb.,21:00,6.25,4.7,416
Corinthians,Ceará,dom.,16:00,6.25,4.7,339
Cruzeiro,Fluminense,dom.,16:00,1.21,5.75,322
Vitória,Botafogo,dom.,16:00,1.57,3.95,308
Flamengo,Santos,dom.,18:30,6.0,5.4,329
Fortaleza,Grêmio,dom.,20:30,7.5,5.5,335
Mirassol,Palmeiras,dom.,20:30,1.79,3.8,344
