time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Atlético-MG,Ceará,sáb.,16:00,1.36,2.9,428
Vitória,Corinthians,sáb.,16:00,1.95,1.79,413
Fluminense,Internacional,sáb.,17:30,1.4,2.75,427
Sport,Mirassol,sáb.,18:30,1.95,1.78,394
Fortaleza,Flamengo,sáb.,19:30,3.6,1.25,372
São Paulo,Bahia,sáb.,21:30,1.37,2.8,414
Botafogo,Santos,dom.,16:00,1.3,3.2,309
Grêmio,Juventude,dom.,16:00,1.22,3.9,346
Bragantino,Vasco,dom.,18:30,1.67,2.1,330
Palmeiras,Cruzeiro,dom.,20:30,1.34,3.0,345
Fluminense,Ceará,qua.,19:00,1.19,4.1,343
Cruzeiro,Vitória,1 de nov.,16:00,1.14,4.9,319
Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308
Mirassol,Botafogo,1 de nov.,18:00,1.58,2.25,307
Flamengo,Sport,1 de nov.,21:00,1.04,10.0,336
Bahia,Bragantino,2 de nov.,16:00,1.28,3.35,332
Ceará,Fluminense,2 de nov.,16:00,1.83,1.89,346
Corinthians,Grêmio,2 de nov.,16:00,1.32,3.15,333
Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,320
Juventude,Palmeiras,2 de nov.,18:30,5.4,1.12,360
Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,322
