id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
1044,Fluminense,Mirassol,qui.,19:30,1.35,3.0,467,2025-11-06 19:30:00,2025-11-06
94,Fortaleza,Flamengo,sáb.,19:30,3.7,1.24,403,2025-10-25 19:30:00,2025-10-25
784,Fortaleza,Grêmio,dom.,20:30,0.5,0.5,474,2025-11-09 20:30:00,2025-11-09
1,Fortaleza,Sport,sáb.,16:00,1.33,3.1,373,2025-09-27 16:00:00,2025-09-27
22,Fortaleza,São Paulo,qui.,19:30,1.13,7.0,405,2025-10-02 19:30:00,2025-10-02
1029,Fortaleza,Vasco,qua.,21:30,1.57,2.28,434,2025-10-15 21:30:00,2025-10-15
307,Fortaleza,Vitória,sáb.,16:00,1.34,3.05,409,2025-09-13 16:00:00,2025-09-13
1057,Grêmio,Botafogo,qua.,19:30,2.02,1.73,350,2025-09-24 19:30:00,2025-09-24
75,Grêmio,Cruzeiro,qua.,20:00,2.17,1.63,389,2025-11-05 20:00:00,2025-11-04
349,Grêmio,Juventude,dom.,16:00,14.0,9.0,466,2025-10-26 16:00:00,2025-10-26
404,Grêmio,Juventude,27 de out.,20:00,1.23,3.8,355,2025-10-27 20:00:00,2025-10-18
308,Grêmio,Mirassol,sáb.,16:00,1.58,2.23,372,2025-09-13 16:00:00,2025-09-13
1031,Grêmio,São Paulo,qui.,19:00,1.95,1.78,375,2025-10-16 19:00:00,2025-10-15
41,Grêmio,Vasco,19 de nov.,21:30,1.58,2.2,250,2025-11-19 21:30:00,2025-11-11
5,Grêmio,Vitória,dom.,11:00,1.29,3.3,409,2025-09-28 11:00:00,2025-09-27
511,Internacional,Atlético-MG,dom.,18:30,1.41,2.7,431,2025-11-02 18:30:00,2025-11-01
799,Internacional,Bahia,sáb.,18:30,0.5,0.5,429,2025-11-08 18:30:00,2025-11-08
62,Internacional,Botafogo,sáb.,18:30,4.9,3.95,360,2025-10-04 18:30:00,2025-10-03
585,Internacional,Corinthians,qua.,19:30,1.26,5.1,376,2025-10-01 19:30:00,2025-10-01
861,Internacional,Grêmio,dom.,17:30,1.38,2.85,353,2025-09-21 17:30:00,2025-09-21
995,Internacional,Sport,sáb.,18:30,2.7,3.35,358,2025-10-18 18:30:00,2025-10-17
389,Internacional,Sport,dom.,18:30,1.22,3.9,411,2025-10-19 18:30:00,2025-10-18
427,Juventude,Bragantino,seg.,19:00,14.0,8.0,429,2025-10-20 19:00:00,2025-10-20
43,Juventude,Cruzeiro,20 de nov.,16:00,2.85,1.36,250,2025-11-20 16:00:00,2025-11-11
313,Juventude,Flamengo,dom.,16:00,5.4,1.12,382,2025-09-14 16:00:00,2025-09-13
680,Juventude,Fortaleza,dom.,18:30,5.1,3.95,403,2025-10-05 18:30:00,2025-10-05
2,Juventude,Internacional,sáb.,18:30,2.6,1.44,336,2025-09-27 18:30:00,2025-09-27
512,Juventude,Palmeiras,dom.,18:30,4.6,1.17,490,2025-11-02 18:30:00,2025-11-01
674,Juventude,Santos,20 de out.,19:00,1.81,1.92,320,2025-10-20 19:00:00,2025-10-11
506,Mirassol,Botafogo,sáb.,18:00,1.61,2.2,417,2025-11-01 18:00:00,2025-11-01
582,Mirassol,Bragantino,qua.,19:00,3.25,3.6,382,2025-10-01 19:00:00,2025-10-01
602,Mirassol,Fluminense,qua.,21:00,1.65,2.12,453,2025-10-08 21:00:00,2025-10-08
1026,Mirassol,Internacional,qua.,20:00,1.49,2.48,427,2025-10-15 20:00:00,2025-10-15
859,Mirassol,Juventude,dom.,16:00,1.16,4.6,390,2025-09-21 16:00:00,2025-09-21
785,Mirassol,Palmeiras,dom.,20:30,0.5,0.5,481,2025-11-09 20:30:00,2025-11-09
388,Mirassol,São Paulo,dom.,16:00,1.62,2.15,435,2025-10-19 16:00:00,2025-10-18
1024,Palmeiras,Bragantino,qua.,19:00,1.1,6.0,474,2025-10-15 19:00:00,2025-10-15
351,Palmeiras,Cruzeiro,dom.,20:30,3.15,3.55,481,2025-10-26 20:30:00,2025-10-26
942,Palmeiras,Fortaleza,sáb.,21:00,1.11,5.75,398,2025-09-20 21:00:00,2025-09-20
309,Palmeiras,Internacional,sáb.,18:30,1.2,4.1,367,2025-09-13 18:30:00,2025-09-13
656,Palmeiras,Juventude,sáb.,19:00,1.04,9.5,404,2025-10-11 19:00:00,2025-10-11
657,Palmeiras,Santos,qua.,19:00,1.09,6.25,99,2025-10-15 19:00:00,2025-10-11
1046,Palmeiras,Santos,qui.,21:30,1.13,5.3,492,2025-11-06 21:30:00,2025-11-06
583,Palmeiras,Vasco,qua.,19:00,1.06,9.5,455,2025-10-01 19:00:00,2025-10-01
39,Palmeiras,Vitória,19 de nov.,19:30,1.06,7.0,295,2025-11-19 19:30:00,2025-11-11
1030,Santos,Corinthians,qua.,21:30,1.53,2.38,403,2025-10-15 21:30:00,2025-10-15
505,Santos,Fortaleza,sáb.,16:00,1.26,3.55,442,2025-11-01 16:00:00,2025-11-01
587,Santos,Grêmio,qua.,21:30,1.27,5.0,373,2025-10-01 21:30:00,2025-10-01
42,Santos,Mirassol,19 de nov.,21:30,1.56,2.25,292,2025-11-19 21:30:00,2025-11-11
36,Santos,Palmeiras,sáb.,21:00,2.55,1.44,292,2025-11-15 21:00:00,2025-11-11
864,Santos,São Paulo,dom.,20:30,1.53,2.38,409,2025-09-21 20:30:00,2025-09-21
429,Santos,Vitória,seg.,21:30,5.0,4.35,442,2025-10-20 21:30:00,2025-10-20
797,Sport,Atlético-MG,sáb.,16:00,0.5,0.5,507,2025-11-08 16:00:00,2025-11-08
1027,Sport,Ceará,qua.,20:00,1.64,2.15,435,2025-10-15 20:00:00,2025-10-15
862,Sport,Corinthians,dom.,17:30,1.95,1.78,353,2025-09-21 17:30:00,2025-09-21
35,Sport,Flamengo,sáb.,18:30,7.5,1.05,273,2025-11-15 18:30:00,2025-11-11
584,Sport,Fluminense,qua.,19:00,17.0,9.0,382,2025-10-01 19:00:00,2025-10-01
71,Sport,Juventude,qua.,19:00,1.3,3.25,416,2025-11-05 19:00:00,2025-11-04
93,Sport,Mirassol,sáb.,18:30,1.97,1.76,444,2025-10-25 18:30:00,2025-10-25
95,São Paulo,Bahia,sáb.,21:30,1.38,2.85,441,2025-10-25 21:30:00,2025-10-25
314,São Paulo,Botafogo,dom.,17:30,1.5,2.43,352,2025-09-14 17:30:00,2025-09-13
800,São Paulo,Bragantino,sáb.,21:00,0.5,0.5,460,2025-11-08 21:00:00,2025-11-08
983,São Paulo,Ceará,seg.,20:00,1.13,7.0,409,2025-09-29 20:00:00,2025-09-29
76,São Paulo,Flamengo,qua.,21:30,2.75,1.4,359,2025-11-05 21:30:00,2025-11-04
