id_jogo,time_casa,time_fora,data_jogo,vencedor,pb_vitoria_casa,pb_empate,pb_derrota_casa,rodada,num_apostas
67,Palmeiras,Santos,2025-10-15 19:00:00,Palmeiras,0.5398230088495576,0.1415929203539823,0.3185840707964602,32.0,99.0
68,Palmeiras,Bragantino,2025-10-15 19:00:00,Palmeiras,0.6363636363636364,0.2517482517482518,0.1118881118881119,28.0,474.0
69,Botafogo,Flamengo,2025-10-15 19:30:00,Flamengo,0.3984375,0.203125,0.3984375,28.0,447.0
70,Mirassol,Internacional,2025-10-15 20:00:00,Mirassol,0.4246575342465753,0.3561643835616438,0.2191780821917808,28.0,427.0
71,Sport,Ceará,2025-10-15 20:00:00,Empate,0.3050847457627119,0.2627118644067797,0.4322033898305085,28.0,435.0
72,Fortaleza,Vasco,2025-10-15 21:30:00,Vasco,0.3783783783783784,0.1081081081081081,0.5135135135135135,28.0,434.0
73,Santos,Corinthians,2025-10-15 21:30:00,Santos,0.2203389830508474,0.2627118644067797,0.516949152542373,28.0,403.0
74,Atlético-MG,Cruzeiro,2025-10-15 21:30:00,Empate,0.3916083916083916,0.2517482517482518,0.3566433566433566,28.0,478.0
75,Grêmio,São Paulo,2025-10-16 19:00:00,Grêmio,0.4722222222222222,0.1018518518518518,0.4259259259259259,28.0,375.0
76,Fluminense,Juventude,2025-10-16 21:30:00,Fluminense,0.1159420289855072,0.4057971014492754,0.4782608695652174,28.0,453.0
77,Vitória,Bahia,2025-10-16 21:30:00,Vitória,0.1553398058252427,0.2524271844660194,0.5922330097087379,28.0,387.0
78,Internacional,Sport,2025-10-18 18:30:00,Internacional,0.3870967741935484,0.4946236559139784,0.1182795698924731,29.0,358.0
79,Corinthians,Atlético-MG,2025-10-18 18:30:00,Corinthians,0.2300884955752212,0.4070796460176991,0.3628318584070796,29.0,447.0
80,Cruzeiro,Fortaleza,2025-10-18 21:00:00,Cruzeiro,0.63,0.21,0.16,29.0,387.0
81,Ceará,Botafogo,2025-10-19 16:00:00,Botafogo,0.3628318584070796,0.3185840707964602,0.3185840707964602,29.0,442.0
82,Mirassol,São Paulo,2025-10-19 16:00:00,Mirassol,0.3980582524271844,0.1553398058252427,0.4466019417475728,29.0,435.0
83,Internacional,Sport,2025-10-19 18:30:00,Internacional,0.3870967741935484,0.4946236559139784,0.1182795698924731,29.0,411.0
84,Flamengo,Palmeiras,2025-10-19 18:30:00,Flamengo,0.4049079754601226,0.1595092024539877,0.4355828220858895,29.0,324.0
85,Bahia,Grêmio,2025-10-19 20:30:00,Bahia,0.4146341463414634,0.0894308943089431,0.4959349593495935,29.0,415.0
86,Juventude,Bragantino,2025-10-20 19:00:00,Juventude,0.2191780821917808,0.2876712328767123,0.4931506849315068,29.0,429.0
88,Vasco,Fluminense,2025-10-20 19:30:00,Vasco,0.4355828220858895,0.0981595092024539,0.4662576687116564,29.0,468.0
89,Santos,Vitória,2025-10-20 21:30:00,Vitória,0.62,0.23,0.15,29.0,442.0
91,Vitória,Corinthians,2025-10-25 16:00:00,Corinthians,0.4070796460176991,0.1415929203539823,0.4513274336283186,30.0,453.0
92,Atlético-MG,Ceará,2025-10-25 16:00:00,Atlético-MG,0.3561643835616438,0.2191780821917808,0.4246575342465753,30.0,481.0
93,Sport,Mirassol,2025-10-25 18:30:00,Mirassol,0.0932203389830508,0.3474576271186441,0.5593220338983051,30.0,444.0
