id_jogo,time_casa,time_fora,data_jogo,vencedor,pb_vitoria_casa,pb_empate,pb_derrota_casa,num_apostas,rodada
75,Grêmio,São Paulo,2025-10-16 19:00:00,Grêmio,0.4722222222222222,0.10185185185185187,0.42592592592592593,,
76,Fluminense,Juventude,2025-10-16 21:30:00,Fluminense,0.11594202898550726,0.4057971014492754,0.4782608695652174,,
77,Vitória,Bahia,2025-10-16 21:30:00,Vitória,0.15533980582524273,0.25242718446601947,0.5922330097087379,,
78,Internacional,Sport,2025-10-18 18:30:00,Internacional,0.3870967741935484,0.49462365591397844,0.11827956989247312,,
79,Corinthians,Atlético-MG,2025-10-18 18:30:00,Corinthians,0.23008849557522126,0.40707964601769914,0.36283185840707965,,
80,Cruzeiro,Fortaleza,2025-10-18 21:00:00,Cruzeiro,0.63,0.21,0.16,,
81,Ceará,Botafogo,2025-10-19 16:00:00,Botafogo,0.36283185840707965,0.31858407079646023,0.31858407079646023,,
82,Mirassol,São Paulo,2025-10-19 16:00:00,Mirassol,0.39805825242718446,0.15533980582524273,0.44660194174757284,,
83,Internacional,Sport,2025-10-19 18:30:00,Internacional,0.3870967741935484,0.49462365591397844,0.11827956989247312,,
84,Flamengo,Palmeiras,2025-10-19 18:30:00,Flamengo,0.40490797546012264,0.15950920245398773,0.43558282208588955,,
85,Bahia,Grêmio,2025-10-19 20:30:00,Bahia,0.4146341463414634,0.0894308943089431,0.49593495934959353,,
86,Juventude,Bragantino,2025-10-20 19:00:00,Juventude,0.2191780821917808,0.2876712328767123,0.4931506849315068,,
88,Vasco,Fluminense,2025-10-20 19:30:00,Vasco,0.43558282208588955,0.09815950920245399,0.4662576687116564,,
89,Santos,Vitória,2025-10-20 21:30:00,Vitória,0.62,0.23,0.15,,
91,Vitória,Corinthians,2025-10-25 16:00:00,Corinthians,0.40707964601769914,0.14159292035398233,0.4513274336283186,,
92,Atlético-MG,Ceará,2025-10-25 16:00:00,Atlético-MG,0.3561643835616438,0.2191780821917808,0.4246575342465753,,
93,Sport,Mirassol,2025-10-25 18:30:00,Mirassol,0.09322033898305086,0.3474576271186441,0.5593220338983051,,
94,Fortaleza,Flamengo,2025-10-25 19:30:00,Fortaleza,0.3082706766917293,0.12030075187969927,0.5714285714285714,,
95,São Paulo,Bahia,2025-10-25 21:30:00,São Paulo,0.40707964601769914,0.09734513274336284,0.49557522123893805,,
96,Fluminense,Internacional,2025-10-25 21:30:00,Fluminense,0.4322033898305085,0.22033898305084748,0.3474576271186441,,
97,Botafogo,Santos,2025-10-26 16:00:00,Empate,0.46590909090909094,0.35227272727272735,0.18181818181818185,,
98,Grêmio,Juventude,2025-10-26 16:00:00,Grêmio,0.4322033898305085,0.22033898305084748,0.3474576271186441,,
99,Bragantino,Vasco,2025-10-26 18:30:00,Vasco,0.26086956521739135,0.22463768115942032,0.5144927536231885,,
100,Palmeiras,Cruzeiro,2025-10-26 20:30:00,Empate,0.59375,0.20312500000000003,0.20312500000000003,,
101,Grêmio,Juventude,2025-10-27 20:00:00,Grêmio,0.4322033898305085,0.22033898305084748,0.3474576271186441,,
103,Santos,Fortaleza,2025-11-01 16:00:00,Empate,0.31325301204819284,0.07228915662650603,0.6144578313253013,,
104,Cruzeiro,Vitória,2025-11-01 16:00:00,Cruzeiro,0.23008849557522126,0.36283185840707965,0.40707964601769914,,
105,Mirassol,Botafogo,2025-11-01 18:00:00,Empate,0.5648148148148149,0.14814814814814817,0.2870370370370371,,
106,Flamengo,Sport,2025-11-01 21:00:00,Flamengo,0.823529411764706,0.16176470588235298,0.01470588235294118,,
107,Corinthians,Grêmio,2025-11-02 16:00:00,Corinthians,0.5365853658536586,0.3333333333333333,0.13008130081300814,,
108,Bahia,Bragantino,2025-11-02 16:00:00,Bahia,0.6440677966101696,0.05084745762711865,0.3050847457627119,,
109,Ceará,Fluminense,2025-11-02 16:00:00,Ceará,0.20512820512820518,0.07692307692307693,0.717948717948718,,
110,Internacional,Atlético-MG,2025-11-02 18:30:00,Empate,0.3333333333333333,0.0894308943089431,0.5772357723577236,,
111,Juventude,Palmeiras,2025-11-02 18:30:00,Palmeiras,0.19277108433734944,0.07228915662650603,0.7349397590361446,,
112,Vasco,São Paulo,2025-11-02 20:30:00,São Paulo,0.5664335664335665,0.07692307692307694,0.35664335664335667,,
113,Sport,Juventude,2025-11-05 19:00:00,Juventude,0.20754716981132074,0.3018867924528302,0.490566037735849,,
114,Vitória,Internacional,2025-11-05 19:00:00,Vitória,0.49397590361445787,0.07228915662650603,0.4337349397590362,,
115,Bragantino,Corinthians,2025-11-05 19:00:00,Bragantino,0.20312500000000003,0.16406250000000003,0.6328125,,
116,Botafogo,Vasco,2025-11-05 19:30:00,Botafogo,0.26086956521739135,0.15217391304347827,0.5869565217391305,,
117,Atlético-MG,Bahia,2025-11-05 20:00:00,Atlético-MG,0.20312500000000003,0.20312500000000003,0.59375,,
118,Grêmio,Cruzeiro,2025-11-05 20:00:00,Cruzeiro,0.3333333333333333,0.23529411764705885,0.43137254901960786,,
119,São Paulo,Flamengo,2025-11-05 21:30:00,Empate,0.35664335664335667,0.07692307692307694,0.5664335664335665,,
120,Fluminense,Mirassol,2025-11-06 19:30:00,Fluminense,0.37398373983739835,0.04878048780487805,0.5772357723577236,,
121,Ceará,Fortaleza,2025-11-06 20:00:00,Empate,0.59375,0.20312500000000003,0.20312500000000003,,
122,Palmeiras,Santos,2025-11-06 21:30:00,Palmeiras,0.5398230088495576,0.14159292035398233,0.31858407079646023,,
123,Sport,Atlético-MG,2025-11-08 16:00:00,Atlético-MG,0.11827956989247314,0.1720430107526882,0.7096774193548387,,
124,Vasco,Juventude,2025-11-08 18:00:00,Juventude,0.4946236559139785,0.11827956989247314,0.38709677419354843,,
125,Internacional,Bahia,2025-11-08 18:30:00,Empate,0.3050847457627119,0.22033898305084748,0.4745762711864407,,
126,São Paulo,Bragantino,2025-11-08 21:00:00,Bragantino,0.39805825242718446,0.3495145631067962,0.25242718446601947,,
127,Cruzeiro,Fluminense,2025-11-09 16:00:00,Empate,0.43137254901960786,0.07189542483660132,0.49673202614379086,,
128,Corinthians,Ceará,2025-11-09 16:00:00,Ceará,0.6021505376344086,0.06451612903225806,0.33333333333333337,,
129,Vitória,Botafogo,2025-11-09 16:00:00,Empate,0.3333333333333333,0.22463768115942032,0.4420289855072464,,
130,Flamengo,Santos,2025-11-09 18:30:00,Flamengo,0.41836734693877553,0.21428571428571433,0.3673469387755103,,
131,Mirassol,Palmeiras,2025-11-09 20:30:00,Mirassol,0.32167832167832167,0.14685314685314688,0.5314685314685315,,
132,Fortaleza,Grêmio,2025-11-09 20:30:00,Empate,0.22033898305084748,0.3474576271186441,0.4322033898305085,,
