time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Bragantino,Grêmio,sáb.,18:30,2.10,3.50,3.30,345
Fluminense,Atlético-MG,sáb.,18:30,1.90,3.35,4.25,421
Internacional,Botafogo,sáb.,18:30,2.45,3.20,2.88,360
Corinthians,Mirassol,sáb.,21:00,2.02,3.30,3.80,267
São Paulo,Palmeiras,dom.,16:00,3.15,3.10,2.35,303
Vasco,Vitória,dom.,16:00,1.66,3.75,5.10,293
Bahia,Flamengo,dom.,18:30,5.10,3.75,1.67,295
Juventude,Fortaleza,dom.,18:30,2.55,3.20,2.80,272
Ceará,Santos,dom.,20:30,2.25,3.10,3.40,269
Cruzeiro,Sport,dom.,20:30,1.37,4.75,8.00,278
