time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Juventude,Bragantino,seg.,19:00,2.80,3.05,2.60,429
Vasco,Fluminense,seg.,19:30,2.95,3.10,2.48,468
Santos,Vitória,seg.,21:30,1.56,3.90,6.10,442
Bahia,Internacional,qua.,19:00,1.88,3.55,4.00,333
Atlético-MG,Ceará,sáb.,16:00,1.86,3.25,4.50,348
Vitória,Corinthians,sáb.,16:00,3.00,3.20,2.40,334
Fluminense,Internacional,sáb.,17:30,2.00,3.35,3.80,346
Sport,Mirassol,sáb.,18:30,2.70,3.30,2.60,314
Fortaleza,Flamengo,sáb.,19:30,6.00,4.00,1.55,305
São Paulo,Bahia,sáb.,21:30,1.97,3.45,3.75,332
Botafogo,Santos,26 de out.,16:00,1.75,3.65,4.60,328
Grêmio,Juventude,26 de out.,16:00,1.63,3.75,5.40,354
Bragantino,Vasco,26 de out.,18:30,2.38,3.55,2.75,338
Palmeiras,Cruzeiro,26 de out.,20:30,1.62,3.85,5.40,347
