time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2
Ceará,Juventude,sáb.,19:00,1.57,3.95,5.75
Botafogo,Bragantino,sáb.,21:30,1.49,4.10,6.50
