time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Fortaleza,Vitória,sáb.,16:00,1.81,3.50,4.40,409
Grêmio,Mirassol,sáb.,16:00,2.25,3.20,3.25,372
Palmeiras,Internacional,sáb.,18:30,1.57,3.80,6.00,367
Fluminense,Corinthians,sáb.,21:00,2.05,3.05,4.00,428
Bragantino,Sport,dom.,11:00,1.83,3.45,4.35,372
Atlético-MG,Santos,dom.,16:00,1.86,3.45,4.20,442
Juventude,Flamengo,dom.,16:00,8.00,4.50,1.40,382
São Paulo,Botafogo,dom.,17:30,2.18,3.00,3.65,352
Vasco,Ceará,dom.,20:30,1.83,3.40,4.50,378
Bahia,Cruzeiro,seg.,20:00,2.30,3.05,3.30,282
Botafogo,Mirassol,qua.,19:30,1.62,3.80,5.50,287
Vitória,Fluminense,20 de set.,16:00,2.50,3.10,2.95,298
Botafogo,Atlético-MG,20 de set.,18:30,1.61,3.60,6.10,315
Ceará,Bahia,20 de set.,18:30,2.75,3.10,2.65,261
Palmeiras,Fortaleza,20 de set.,21:00,1.38,4.40,9.00,276
Mirassol,Juventude,21 de set.,16:00,1.60,3.70,6.00,269
Flamengo,Vasco,21 de set.,17:30,1.52,3.95,6.50,277
Internacional,Grêmio,21 de set.,17:30,1.86,3.20,4.60,262
Sport,Corinthians,21 de set.,17:30,2.85,3.00,2.63,261
Cruzeiro,Bragantino,21 de set.,20:30,1.57,3.80,6.10,298
Santos,São Paulo,21 de set.,20:30,2.50,2.95,3.05,274
