time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Vitória,Ceará,qui.,19:00,2.30,3.10,3.25,416
Fortaleza,São Paulo,qui.,19:30,2.70,3.20,2.60,405
Flamengo,Cruzeiro,qui.,20:30,1.60,3.80,5.80,435
Bragantino,Grêmio,sáb.,18:30,2.14,3.35,3.35,275
Fluminense,Atlético-MG,sáb.,18:30,1.93,3.30,4.10,324
Internacional,Botafogo,sáb.,18:30,2.55,3.20,2.75,289
Corinthians,Mirassol,sáb.,21:00,2.12,3.25,3.55,268
São Paulo,Palmeiras,dom.,16:00,3.00,3.10,2.45,304
Vasco,Vitória,dom.,16:00,1.66,3.75,5.10,290
Bahia,Flamengo,dom.,18:30,5.00,3.65,1.68,305
Juventude,Fortaleza,dom.,18:30,2.33,3.20,3.10,272
Ceará,Santos,dom.,20:30,2.23,3.10,3.40,271
Cruzeiro,Sport,dom.,20:30,1.32,5.10,9.50,294
