time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Palmeiras,Bragantino,qua.,19:00,1.32,5.00,9.50,420
Botafogo,Flamengo,qua.,19:30,3.60,3.20,2.10,403
Mirassol,Internacional,qua.,20:00,2.14,3.35,3.35,370
Sport,Ceará,qua.,20:00,2.35,3.10,3.15,388
Atlético-MG,Cruzeiro,qua.,21:30,2.88,3.00,2.60,413
Fortaleza,Vasco,qua.,21:30,2.20,3.30,3.25,384
Santos,Corinthians,qua.,21:30,2.20,3.10,3.50,370
Grêmio,São Paulo,qui.,19:00,2.85,3.15,2.55,299
Fluminense,Juventude,qui.,21:30,1.32,4.90,9.50,365
Vitória,Bahia,qui.,21:30,2.90,3.20,2.48,312
Corinthians,Atlético-MG,sáb.,18:30,2.02,3.20,3.90,327
Internacional,Sport,sáb.,18:30,1.54,4.00,6.00,310
Cruzeiro,Fortaleza,sáb.,21:00,1.55,3.95,6.00,310
Ceará,Botafogo,dom.,16:00,2.70,3.05,2.75,319
Flamengo,Palmeiras,dom.,16:00,1.89,3.40,4.20,328
Mirassol,São Paulo,dom.,16:00,2.43,3.20,2.95,316
Bahia,Grêmio,dom.,20:30,1.85,3.50,4.20,303
Juventude,Bragantino,20 de out.,19:00,2.65,3.10,2.75,325
Vasco,Fluminense,20 de out.,19:30,2.75,3.25,2.55,334
Santos,Vitória,20 de out.,21:30,1.70,3.65,5.00,318
