time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,sáb.,16:00,1.44,4.20,7.50,305
Santos,Fortaleza,sáb.,16:00,1.74,3.65,4.60,304
Mirassol,Botafogo,sáb.,18:00,2.14,3.25,3.45,294
Flamengo,Sport,sáb.,21:00,1.18,6.50,17.00,299
Bahia,Bragantino,dom.,16:00,1.72,3.65,4.80,314
Ceará,Fluminense,dom.,16:00,2.65,3.05,2.80,347
Corinthians,Grêmio,dom.,16:00,1.79,3.25,5.00,317
Internacional,Atlético-MG,dom.,18:30,1.98,3.25,4.00,308
Juventude,Palmeiras,dom.,18:30,7.00,4.10,1.48,346
Vasco,São Paulo,dom.,20:30,2.18,3.20,3.40,305
Bragantino,Corinthians,5 de nov.,19:00,2.23,3.20,3.30,335
Sport,Juventude,5 de nov.,19:00,1.83,3.45,4.40,336
Vitória,Internacional,5 de nov.,19:00,2.48,3.25,2.85,319
Botafogo,Vasco,5 de nov.,19:30,1.89,3.60,3.90,344
Atlético-MG,Bahia,5 de nov.,20:00,2.16,3.30,3.35,349
Grêmio,Cruzeiro,5 de nov.,20:00,3.15,3.20,2.30,321
São Paulo,Flamengo,5 de nov.,21:30,4.10,3.20,1.97,301
Fluminense,Mirassol,6 de nov.,19:30,1.93,3.25,4.20,351
Ceará,Fortaleza,6 de nov.,20:00,2.28,3.15,3.25,316
Palmeiras,Santos,6 de nov.,21:30,1.40,4.50,8.00,348
