time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Corinthians,Atlético-MG,sáb.,18:30,2.00,3.20,4.00,447
Cruzeiro,Fortaleza,sáb.,21:00,1.37,4.60,8.50,387
Ceará,Botafogo,dom.,16:00,2.80,2.90,2.80,442
Flamengo,Palmeiras,dom.,16:00,1.95,3.25,4.10,450
Mirassol,São Paulo,dom.,16:00,2.30,3.15,3.10,435
Internacional,Sport,dom.,18:30,1.60,3.80,5.60,411
Bahia,Grêmio,dom.,20:30,1.70,3.70,4.80,415
Juventude,Bragantino,seg.,19:00,2.65,3.10,2.75,433
Vasco,Fluminense,seg.,19:30,2.95,3.10,2.48,472
Santos,Vitória,seg.,21:30,1.63,3.70,5.60,426
Bahia,Internacional,qua.,19:00,1.88,3.55,4.00,333
Atlético-MG,Ceará,25 de out.,16:00,1.82,3.45,4.40,354
Vitória,Corinthians,25 de out.,16:00,2.95,3.15,2.45,335
Sport,Mirassol,25 de out.,18:30,3.00,3.30,2.33,325
Fortaleza,Flamengo,25 de out.,19:30,4.40,3.50,1.82,325
Fluminense,Internacional,25 de out.,21:30,2.02,3.35,3.70,346
São Paulo,Bahia,25 de out.,21:30,1.97,3.45,3.75,340
Botafogo,Santos,26 de out.,16:00,1.77,3.55,4.60,328
Bragantino,Vasco,26 de out.,18:30,2.60,3.45,2.60,334
Palmeiras,Cruzeiro,26 de out.,20:30,1.68,3.75,5.00,348
Grêmio,Juventude,27 de out.,20:00,1.62,3.80,5.50,355
