time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Fortaleza,Sport,sáb.,16:00,1.72,3.70,4.80,263
Juventude,Internacional,sáb.,18:30,3.70,3.35,2.02,244
Vasco,Cruzeiro,sáb.,18:30,2.85,3.25,2.48,277
Atlético-MG,Mirassol,sáb.,21:00,2.25,3.25,3.20,317
Grêmio,Vitória,dom.,11:00,1.65,3.75,5.25,274
Bahia,Palmeiras,dom.,16:00,2.85,3.25,2.45,274
Fluminense,Botafogo,dom.,16:00,2.40,3.15,3.05,298
Bragantino,Santos,dom.,18:30,2.15,3.35,3.35,293
Corinthians,Flamengo,dom.,20:30,4.30,3.35,1.88,276
São Paulo,Ceará,seg.,20:00,1.57,3.70,6.40,294
Atlético-MG,Juventude,ter.,21:30,1.41,4.40,7.50,325
Mirassol,Bragantino,1 de out.,19:00,2.05,3.40,3.55,284
Palmeiras,Vasco,1 de out.,19:00,1.33,4.90,9.50,317
Sport,Fluminense,1 de out.,19:00,2.90,3.10,2.55,283
Internacional,Corinthians,1 de out.,19:30,2.12,3.25,3.55,266
Botafogo,Bahia,1 de out.,21:30,1.94,3.35,4.00,279
Santos,Grêmio,1 de out.,21:30,2.04,3.25,3.75,277
Vitória,Ceará,2 de out.,19:00,2.32,3.15,3.20,284
Fortaleza,São Paulo,2 de out.,19:30,2.65,3.25,2.63,291
Flamengo,Cruzeiro,2 de out.,20:30,1.66,3.70,5.10,303
