time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Botafogo,Mirassol,qua.,19:30,1.62,3.80,5.50,362
Vitória,Fluminense,sáb.,16:00,2.75,3.05,2.70,297
Botafogo,Atlético-MG,sáb.,18:30,1.61,3.55,6.10,315
Ceará,Bahia,sáb.,18:30,2.75,3.10,2.63,258
Palmeiras,Fortaleza,sáb.,21:00,1.36,4.50,9.00,277
Mirassol,Juventude,dom.,16:00,1.60,3.70,6.00,272
Flamengo,Vasco,dom.,17:30,1.38,4.50,8.00,268
Internacional,Grêmio,dom.,17:30,1.86,3.20,4.70,246
Sport,Corinthians,dom.,17:30,2.85,2.95,2.70,239
Cruzeiro,Bragantino,dom.,20:30,1.54,3.90,6.40,300
Santos,São Paulo,dom.,20:30,2.50,3.00,3.00,272
