time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Fluminense,Mirassol,qui.,19:30,1.86,3.40,4.40,467
Ceará,Fortaleza,qui.,20:00,2.25,3.15,3.25,427
Palmeiras,Santos,qui.,21:30,1.43,4.25,8.00,492
Sport,Atlético-MG,sáb.,16:00,2.88,3.15,2.50,364
Vasco,Juventude,sáb.,18:00,1.38,4.60,8.00,357
Internacional,Bahia,sáb.,18:30,2.20,3.20,3.40,320
São Paulo,Bragantino,sáb.,21:00,1.73,3.35,5.30,342
Corinthians,Ceará,dom.,16:00,1.66,3.45,5.75,342
Cruzeiro,Fluminense,dom.,16:00,1.90,3.25,4.35,323
Vitória,Botafogo,dom.,16:00,3.05,3.20,2.35,320
Flamengo,Santos,dom.,18:30,1.29,5.10,10.50,333
Fortaleza,Grêmio,dom.,20:30,2.08,3.20,3.70,334
Mirassol,Palmeiras,dom.,20:30,3.55,3.20,2.14,343
