time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Atlético-MG,Juventude,ter.,21:30,1.56,3.80,6.25,410
Mirassol,Bragantino,qua.,19:00,1.87,3.45,4.10,376
Palmeiras,Vasco,qua.,19:00,1.33,4.80,9.50,445
Sport,Fluminense,qua.,19:00,2.95,3.05,2.50,389
Internacional,Corinthians,qua.,19:30,2.10,3.20,3.60,370
Botafogo,Bahia,qua.,21:30,1.83,3.55,4.25,368
Santos,Grêmio,qua.,21:30,2.02,3.30,3.75,374
Vitória,Ceará,qui.,19:00,2.32,3.10,3.20,281
Fortaleza,São Paulo,qui.,19:30,2.75,3.30,2.55,282
Flamengo,Cruzeiro,qui.,20:30,1.58,3.90,5.60,301
Bragantino,Grêmio,sáb.,18:30,2.23,3.30,3.20,273
Fluminense,Atlético-MG,sáb.,18:30,1.77,3.45,4.75,326
Internacional,Botafogo,sáb.,18:30,2.60,3.20,2.70,284
Corinthians,Mirassol,sáb.,21:00,2.12,3.25,3.50,263
São Paulo,Palmeiras,dom.,16:00,2.90,3.10,2.55,304
Vasco,Vitória,dom.,16:00,1.78,3.50,4.60,285
Bahia,Flamengo,dom.,18:30,4.30,3.45,1.84,302
Juventude,Fortaleza,dom.,18:30,2.63,3.20,2.70,277
Ceará,Santos,dom.,20:30,2.25,3.10,3.40,266
Cruzeiro,Sport,dom.,20:30,1.30,5.10,10.00,287
