time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Bahia,Cruzeiro,seg.,20:00,2.48,3.00,3.05,283
Botafogo,Mirassol,qua.,19:30,1.62,3.80,5.50,291
Vitória,Fluminense,sáb.,16:00,2.75,3.05,2.70,297
Botafogo,Atlético-MG,sáb.,18:30,1.61,3.60,6.10,317
Ceará,Bahia,sáb.,18:30,2.75,3.05,2.65,261
Palmeiras,Fortaleza,sáb.,21:00,1.37,4.50,9.00,277
Mirassol,Juventude,21 de set.,16:00,1.60,3.75,6.00,270
Flamengo,Vasco,21 de set.,17:30,1.40,4.40,8.00,268
Internacional,Grêmio,21 de set.,17:30,1.85,3.25,4.60,256
Sport,Corinthians,21 de set.,17:30,2.85,3.05,2.63,254
Cruzeiro,Bragantino,21 de set.,20:30,1.57,3.75,6.10,300
Santos,São Paulo,21 de set.,20:30,2.48,3.05,3.00,276
