time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Palmeiras,Bragantino,qua.,19:00,1.34,4.90,9.00,474
Botafogo,Flamengo,qua.,19:30,4.10,3.20,1.97,447
Mirassol,Internacional,qua.,20:00,2.08,3.30,3.60,427
Sport,Ceará,qua.,20:00,2.35,3.15,3.10,435
Atlético-MG,Cruzeiro,qua.,21:30,3.00,3.05,2.50,478
Fortaleza,Vasco,qua.,21:30,2.20,3.30,3.30,434
Santos,Corinthians,qua.,21:30,2.23,3.00,3.55,403
Grêmio,São Paulo,qui.,19:00,2.85,3.15,2.55,375
Fluminense,Juventude,qui.,21:30,1.35,4.70,9.00,453
Vitória,Bahia,qui.,21:30,2.90,3.15,2.48,387
Corinthians,Atlético-MG,sáb.,18:30,2.04,3.20,3.85,319
Internacional,Sport,sáb.,18:30,1.56,3.90,6.00,309
Cruzeiro,Fortaleza,sáb.,21:00,1.56,3.85,6.10,307
Ceará,Botafogo,dom.,16:00,2.70,3.05,2.75,312
Flamengo,Palmeiras,dom.,16:00,1.89,3.35,4.25,328
Mirassol,São Paulo,dom.,16:00,2.43,3.20,2.95,316
Bahia,Grêmio,dom.,20:30,1.85,3.50,4.20,303
Juventude,Bragantino,seg.,19:00,2.60,3.15,2.80,320
Vasco,Fluminense,seg.,19:30,2.80,3.20,2.55,336
Santos,Vitória,seg.,21:30,1.70,3.60,5.10,316
