time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Corinthians,Atlético-MG,sáb.,18:30,1.98,3.20,4.00,414
Internacional,Sport,sáb.,18:30,1.58,3.90,5.75,358
Cruzeiro,Fortaleza,sáb.,21:00,1.41,4.50,8.00,349
Ceará,Botafogo,dom.,16:00,2.70,3.10,2.75,313
Flamengo,Palmeiras,dom.,16:00,1.96,3.30,4.00,324
Mirassol,São Paulo,dom.,16:00,2.40,3.20,3.00,309
Bahia,Grêmio,dom.,20:30,1.78,3.60,4.50,302
Juventude,Bragantino,seg.,19:00,2.63,3.10,2.75,318
Vasco,Fluminense,seg.,19:30,2.60,3.25,2.70,333
Santos,Vitória,seg.,21:30,1.63,3.75,5.50,291
