time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Fortaleza,Sport,sáb.,16:00,1.72,3.65,4.80,321
Juventude,Internacional,sáb.,18:30,3.75,3.35,2.00,292
Vasco,Cruzeiro,sáb.,18:30,2.88,3.35,2.40,343
Atlético-MG,Mirassol,sáb.,21:00,2.23,3.25,3.20,398
Grêmio,Vitória,dom.,11:00,1.67,3.70,5.10,275
Bahia,Palmeiras,dom.,16:00,3.50,3.35,2.08,279
Fluminense,Botafogo,dom.,16:00,2.38,3.20,3.05,293
Bragantino,Santos,dom.,18:30,2.28,3.20,3.20,293
Corinthians,Flamengo,dom.,20:30,4.35,3.25,1.89,282
São Paulo,Ceará,seg.,20:00,1.57,3.70,6.40,295
Atlético-MG,Juventude,ter.,21:30,1.41,4.40,7.50,325
Mirassol,Bragantino,qua.,19:00,2.05,3.40,3.55,284
Palmeiras,Vasco,qua.,19:00,1.33,4.90,9.50,317
Sport,Fluminense,qua.,19:00,2.90,3.10,2.55,283
Internacional,Corinthians,qua.,19:30,2.12,3.25,3.55,266
Botafogo,Bahia,qua.,21:30,1.94,3.35,4.00,279
Santos,Grêmio,qua.,21:30,2.05,3.25,3.75,275
Vitória,Ceará,2 de out.,19:00,2.32,3.15,3.20,284
Fortaleza,São Paulo,2 de out.,19:30,2.65,3.25,2.63,291
Flamengo,Cruzeiro,2 de out.,20:30,1.66,3.70,5.10,303
