time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Atlético-MG,Sport,qua.,19:00,1.60,3.65,6.10,487
Mirassol,Fluminense,qua.,21:00,2.38,3.10,3.10,453
Palmeiras,Juventude,sáb.,19:00,1.22,5.80,14.00,291
Palmeiras,Bragantino,15 de out.,19:00,1.38,4.60,8.00,353
Botafogo,Flamengo,15 de out.,19:30,3.65,3.25,2.10,317
Mirassol,Internacional,15 de out.,20:00,2.12,3.30,3.45,303
Sport,Ceará,15 de out.,20:00,2.33,3.15,3.15,315
Atlético-MG,Cruzeiro,15 de out.,21:30,2.70,3.05,2.70,335
Fortaleza,Vasco,15 de out.,21:30,2.32,3.10,3.20,298
Santos,Corinthians,15 de out.,21:30,2.20,3.10,3.55,284
Grêmio,São Paulo,16 de out.,19:00,2.48,3.15,2.95,291
Fluminense,Juventude,16 de out.,21:30,1.45,4.20,7.50,363
Vitória,Bahia,16 de out.,21:30,2.95,3.20,2.45,309
Corinthians,Atlético-MG,18 de out.,18:30,2.02,3.20,3.85,331
Internacional,Sport,18 de out.,18:30,1.55,4.00,6.00,312
Cruzeiro,Fortaleza,18 de out.,21:00,1.55,3.90,6.10,316
Ceará,Botafogo,19 de out.,16:00,2.85,3.05,2.60,320
Mirassol,São Paulo,19 de out.,16:00,2.30,3.25,3.15,315
Flamengo,Palmeiras,19 de out.,18:30,1.87,3.35,4.25,324
Bahia,Grêmio,19 de out.,20:30,1.85,3.50,4.20,303
Juventude,Bragantino,20 de out.,19:00,2.65,3.10,2.75,324
Vasco,Fluminense,20 de out.,19:30,2.45,3.25,2.85,334
Santos,Vitória,20 de out.,21:30,1.70,3.65,5.00,318
