time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
São Paulo,Ceará,seg.,20:00,1.58,3.70,6.10,409
Atlético-MG,Juventude,ter.,21:30,1.50,4.00,6.50,299
Mirassol,Bragantino,qua.,19:00,1.96,3.40,3.80,285
Palmeiras,Vasco,qua.,19:00,1.34,4.80,9.50,316
Sport,Fluminense,qua.,19:00,2.95,3.10,2.50,275
Internacional,Corinthians,qua.,19:30,2.17,3.25,3.40,264
Botafogo,Bahia,qua.,21:30,1.86,3.40,4.25,276
Santos,Grêmio,qua.,21:30,2.02,3.35,3.70,266
Vitória,Ceará,qui.,19:00,2.32,3.10,3.25,282
Fortaleza,São Paulo,qui.,19:30,2.65,3.30,2.60,283
Flamengo,Cruzeiro,qui.,20:30,1.70,3.60,5.10,303
