time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Mirassol,Juventude,dom.,16:00,1.50,4.00,6.75,390
Flamengo,Vasco,dom.,17:30,1.36,4.70,9.00,399
Internacional,Grêmio,dom.,17:30,1.90,3.35,4.10,353
Sport,Corinthians,dom.,17:30,2.85,3.05,2.60,353
Cruzeiro,Bragantino,dom.,20:30,1.50,4.10,6.75,448
Santos,São Paulo,dom.,20:30,2.20,3.10,3.55,409
Grêmio,Botafogo,qua.,19:30,3.00,3.35,2.32,270
Vasco,Bahia,qua.,19:30,2.38,3.20,3.00,283
Fortaleza,Sport,27 de set.,16:00,1.76,3.55,4.70,260
Juventude,Internacional,27 de set.,18:30,3.70,3.25,2.06,257
Vasco,Cruzeiro,27 de set.,18:30,2.85,3.25,2.48,282
Atlético-MG,Mirassol,27 de set.,21:00,1.97,3.40,3.80,305
Grêmio,Vitória,28 de set.,11:00,1.68,3.60,5.25,275
Bahia,Palmeiras,28 de set.,16:00,2.70,3.20,2.63,277
Fluminense,Botafogo,28 de set.,16:00,2.38,3.15,3.10,300
Bragantino,Santos,28 de set.,18:30,2.08,3.45,3.40,294
Corinthians,Flamengo,28 de set.,20:30,3.90,3.40,1.95,277
São Paulo,Ceará,29 de set.,20:00,1.60,3.65,6.25,296
