time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Fortaleza,Sport,sáb.,16:00,1.79,3.55,4.40,373
Juventude,Internacional,sáb.,18:30,3.80,3.30,2.02,336
Vasco,Cruzeiro,sáb.,18:30,3.05,3.30,2.30,395
Atlético-MG,Mirassol,sáb.,21:00,2.23,3.25,3.25,468
Grêmio,Vitória,dom.,11:00,1.75,3.50,4.80,409
Bahia,Palmeiras,dom.,16:00,3.45,3.35,2.10,411
Fluminense,Botafogo,dom.,16:00,2.38,3.15,3.05,425
Bragantino,Santos,dom.,18:30,2.25,3.25,3.20,435
Corinthians,Flamengo,dom.,20:30,4.50,3.35,1.84,404
São Paulo,Ceará,seg.,20:00,1.57,3.70,6.40,421
Atlético-MG,Juventude,ter.,21:30,1.40,4.50,7.50,327
Mirassol,Bragantino,qua.,19:00,2.05,3.40,3.55,284
Palmeiras,Vasco,qua.,19:00,1.33,4.80,9.50,316
Sport,Fluminense,qua.,19:00,2.90,3.10,2.55,283
Internacional,Corinthians,qua.,19:30,2.10,3.30,3.50,266
Botafogo,Bahia,qua.,21:30,1.94,3.35,4.00,279
Santos,Grêmio,qua.,21:30,2.05,3.25,3.75,270
Vitória,Ceará,qui.,19:00,2.32,3.15,3.20,284
Fortaleza,São Paulo,qui.,19:30,2.70,3.25,2.63,291
Flamengo,Cruzeiro,qui.,20:30,1.68,3.65,5.20,305
