time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
São Paulo,Palmeiras,dom.,16:00,3.35,3.05,2.28,435
Vasco,Vitória,dom.,16:00,1.72,3.70,4.80,434
Bahia,Flamengo,dom.,18:30,5.50,3.75,1.63,426
Juventude,Fortaleza,dom.,18:30,2.45,3.15,2.95,403
Ceará,Santos,dom.,20:30,2.40,3.00,3.20,394
Cruzeiro,Sport,dom.,20:30,1.38,4.60,8.00,393
Atlético-MG,Sport,qua.,19:00,1.63,3.60,5.75,351
Mirassol,Fluminense,qua.,21:00,2.23,3.20,3.25,323
Palmeiras,Juventude,11 de out.,19:00,1.16,7.00,17.00,348
Palmeiras,Bragantino,15 de out.,19:00,1.41,4.50,7.50,354
Botafogo,Flamengo,15 de out.,19:30,3.60,3.30,2.08,326
Mirassol,Internacional,15 de out.,20:00,2.12,3.30,3.45,303
Sport,Ceará,15 de out.,20:00,2.30,3.15,3.25,321
Atlético-MG,Cruzeiro,15 de out.,21:30,2.75,3.05,2.70,337
Fortaleza,Vasco,15 de out.,21:30,2.30,3.15,3.20,308
Santos,Corinthians,15 de out.,21:30,2.18,3.10,3.50,298
Grêmio,São Paulo,16 de out.,19:00,2.35,3.20,3.05,295
Fluminense,Juventude,16 de out.,21:30,1.45,4.20,7.50,358
Vitória,Bahia,16 de out.,21:30,2.90,3.15,2.48,336
