time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Bragantino,Corinthians,qua.,19:00,2.33,3.20,3.05,331
Sport,Juventude,qua.,19:00,1.73,3.65,4.70,335
Vitória,Internacional,qua.,19:00,2.50,3.25,2.80,315
Botafogo,Vasco,qua.,19:30,1.87,3.60,3.95,332
Atlético-MG,Bahia,qua.,20:00,2.16,3.30,3.40,351
Grêmio,Cruzeiro,qua.,20:00,3.10,3.25,2.30,311
São Paulo,Flamengo,qua.,21:30,4.00,3.30,1.96,290
Fluminense,Mirassol,qui.,19:30,1.85,3.35,4.40,348
Ceará,Fortaleza,qui.,20:00,2.28,3.20,3.25,303
Palmeiras,Santos,qui.,21:30,1.40,4.50,8.00,344
