time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2
Fortaleza,Vitória,13 de set.,16:00,1.88,3.45,4.20
Grêmio,Mirassol,13 de set.,16:00,2.25,3.20,3.25
Palmeiras,Internacional,13 de set.,18:30,1.62,3.70,5.75
Fluminense,Corinthians,13 de set.,21:00,1.98,3.20,4.10
Bragantino,Sport,14 de set.,11:00,1.88,3.40,4.20
Atlético-MG,Santos,14 de set.,16:00,1.86,3.45,4.25
Juventude,Flamengo,14 de set.,16:00,8.00,4.30,1.42
São Paulo,Botafogo,14 de set.,17:30,2.18,3.00,3.65
Vasco,Ceará,14 de set.,20:30,1.85,3.40,4.40
Bahia,Cruzeiro,15 de set.,20:00,2.30,3.05,3.35
