time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Vitória,Fluminense,sáb.,16:00,2.35,3.05,3.20,426
Botafogo,Atlético-MG,sáb.,18:30,1.66,3.50,5.75,431
Ceará,Bahia,sáb.,18:30,2.60,3.10,2.75,355
Palmeiras,Fortaleza,sáb.,21:00,1.40,4.30,9.00,398
Mirassol,Juventude,dom.,16:00,1.49,4.10,6.75,391
Flamengo,Vasco,dom.,17:30,1.35,4.80,8.50,389
Internacional,Grêmio,dom.,17:30,1.84,3.25,4.70,345
Sport,Corinthians,dom.,17:30,2.85,3.05,2.60,349
Cruzeiro,Bragantino,dom.,20:30,1.49,4.10,6.75,427
Santos,São Paulo,dom.,20:30,2.16,3.05,3.60,397
Grêmio,Botafogo,qua.,19:30,3.10,3.25,2.32,270
Vasco,Bahia,qua.,19:30,2.35,3.30,2.95,284
Fortaleza,Sport,27 de set.,16:00,1.75,3.55,4.75,259
Juventude,Internacional,27 de set.,18:30,3.70,3.25,2.06,257
Vasco,Cruzeiro,27 de set.,18:30,2.85,3.25,2.48,282
Atlético-MG,Mirassol,27 de set.,21:00,1.97,3.45,3.75,304
Grêmio,Vitória,28 de set.,11:00,1.68,3.55,5.40,273
Bahia,Palmeiras,28 de set.,16:00,2.70,3.20,2.63,279
Fluminense,Botafogo,28 de set.,16:00,2.38,3.15,3.10,300
Bragantino,Santos,28 de set.,18:30,2.12,3.35,3.40,288
Corinthians,Flamengo,28 de set.,20:30,3.95,3.40,1.95,277
São Paulo,Ceará,29 de set.,20:00,1.60,3.65,6.25,296
