time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Sport,Atlético-MG,sáb.,16:00,3.95,3.10,2.02,507
Vasco,Juventude,sáb.,18:00,1.41,4.35,8.00,495
Internacional,Bahia,sáb.,18:30,2.23,3.10,3.40,429
São Paulo,Bragantino,sáb.,21:00,1.70,3.40,5.50,460
Corinthians,Ceará,dom.,16:00,1.61,3.45,6.50,471
Cruzeiro,Fluminense,dom.,16:00,1.85,3.25,4.60,441
Vitória,Botafogo,dom.,16:00,3.10,3.15,2.33,437
Flamengo,Santos,dom.,18:30,1.25,5.50,12.00,455
Fortaleza,Grêmio,dom.,20:30,1.93,3.35,4.10,468
Mirassol,Palmeiras,dom.,20:30,4.35,3.25,1.92,476
