time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Mirassol,Bragantino,qua.,19:00,1.84,3.60,4.20,382
Palmeiras,Vasco,qua.,19:00,1.34,4.80,9.50,455
Sport,Fluminense,qua.,19:00,3.10,3.05,2.43,382
Internacional,Corinthians,qua.,19:30,2.02,3.30,3.80,376
Botafogo,Bahia,qua.,21:30,1.82,3.50,4.40,372
Santos,Grêmio,qua.,21:30,2.04,3.30,3.70,373
Vitória,Ceará,qui.,19:00,2.33,3.10,3.20,367
Fortaleza,São Paulo,qui.,19:30,2.70,3.20,2.63,355
Flamengo,Cruzeiro,qui.,20:30,1.58,3.85,5.80,388
Bragantino,Grêmio,sáb.,18:30,2.23,3.35,3.20,271
Fluminense,Atlético-MG,sáb.,18:30,1.81,3.40,4.60,327
Internacional,Botafogo,sáb.,18:30,2.55,3.20,2.75,287
Corinthians,Mirassol,sáb.,21:00,2.12,3.25,3.50,263
São Paulo,Palmeiras,dom.,16:00,3.00,3.10,2.45,302
Vasco,Vitória,dom.,16:00,1.78,3.55,4.50,288
Bahia,Flamengo,dom.,18:30,4.30,3.45,1.84,302
Juventude,Fortaleza,dom.,18:30,2.60,3.20,2.75,277
Ceará,Santos,dom.,20:30,2.25,3.10,3.40,266
Cruzeiro,Sport,dom.,20:30,1.32,5.10,9.00,288
