time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,1 de nov.,16:00,1.44,4.20,7.50,319
Santos,Fortaleza,1 de nov.,16:00,1.77,3.60,4.50,303
Mirassol,Botafogo,1 de nov.,18:00,2.17,3.15,3.45,306
Flamengo,Sport,1 de nov.,21:00,1.15,7.00,18.00,324
Bahia,Bragantino,2 de nov.,16:00,1.71,3.70,4.80,326
Ceará,Fluminense,2 de nov.,16:00,2.65,3.05,2.80,347
Corinthians,Grêmio,2 de nov.,16:00,1.84,3.25,4.70,328
Internacional,Atlético-MG,2 de nov.,18:30,1.91,3.30,4.25,321
Juventude,Palmeiras,2 de nov.,18:30,8.00,4.50,1.40,360
Vasco,São Paulo,2 de nov.,20:30,2.15,3.25,3.40,322
