time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Cruzeiro,Vitória,sáb.,16:00,1.40,4.50,8.00,413
Santos,Fortaleza,sáb.,16:00,1.64,3.90,5.10,442
Mirassol,Botafogo,sáb.,18:00,2.28,3.25,3.20,417
Flamengo,Sport,sáb.,21:00,1.15,7.50,17.00,439
Bahia,Bragantino,dom.,16:00,1.63,3.90,5.10,453
Ceará,Fluminense,dom.,16:00,2.80,3.00,2.63,466
Corinthians,Grêmio,dom.,16:00,1.72,3.40,5.30,468
Internacional,Atlético-MG,dom.,18:30,2.00,3.15,4.00,431
Juventude,Palmeiras,dom.,18:30,6.75,4.10,1.50,490
Vasco,São Paulo,dom.,20:30,2.12,3.15,3.65,455
Bragantino,Corinthians,qua.,19:00,2.23,3.20,3.30,335
Sport,Juventude,qua.,19:00,1.82,3.50,4.40,336
Vitória,Internacional,qua.,19:00,2.48,3.20,2.88,316
Botafogo,Vasco,qua.,19:30,1.90,3.55,3.95,336
Atlético-MG,Bahia,qua.,20:00,2.16,3.30,3.35,349
Grêmio,Cruzeiro,qua.,20:00,3.10,3.20,2.32,312
São Paulo,Flamengo,qua.,21:30,4.20,3.20,1.95,302
Fluminense,Mirassol,qui.,19:30,1.93,3.30,4.10,347
Ceará,Fortaleza,qui.,20:00,2.28,3.20,3.20,307
Palmeiras,Santos,qui.,21:30,1.40,4.50,8.00,348
