time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Bahia,Internacional,qua.,19:00,1.98,3.35,3.80,403
Atlético-MG,Ceará,sáb.,16:00,1.88,3.25,4.40,342
Vitória,Corinthians,sáb.,16:00,2.95,3.20,2.43,336
Fluminense,Internacional,sáb.,17:30,2.00,3.35,3.80,346
Sport,Mirassol,sáb.,18:30,2.65,3.30,2.60,311
Fortaleza,Flamengo,sáb.,19:30,5.75,3.85,1.60,297
São Paulo,Bahia,sáb.,21:30,1.97,3.40,3.85,329
Botafogo,Santos,dom.,16:00,1.74,3.65,4.60,327
Grêmio,Juventude,dom.,16:00,1.58,3.85,5.75,353
Bragantino,Vasco,dom.,18:30,2.25,3.55,2.90,338
Palmeiras,Cruzeiro,dom.,20:30,1.60,3.90,5.50,342
Fluminense,Ceará,29 de out.,19:00,1.66,3.45,5.80,343
Cruzeiro,Vitória,1 de nov.,16:00,1.45,4.10,7.50,324
Santos,Fortaleza,1 de nov.,16:00,1.78,3.60,4.50,308
Mirassol,Botafogo,1 de nov.,18:00,2.25,3.15,3.30,311
Flamengo,Sport,1 de nov.,21:00,1.17,6.50,17.00,336
Bahia,Bragantino,2 de nov.,16:00,1.71,3.70,4.75,337
Ceará,Fluminense,2 de nov.,16:00,2.70,3.05,2.75,346
Corinthians,Grêmio,2 de nov.,16:00,1.84,3.30,4.60,340
Internacional,Atlético-MG,2 de nov.,18:30,1.90,3.30,4.25,332
Juventude,Palmeiras,2 de nov.,18:30,8.00,4.60,1.40,361
Vasco,São Paulo,2 de nov.,20:30,2.14,3.30,3.40,323
