time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Atlético-MG,Ceará,sáb.,16:00,1.80,3.35,4.75,481
Vitória,Corinthians,sáb.,16:00,2.55,3.05,2.88,453
Fluminense,Internacional,sáb.,17:30,1.77,3.50,4.70,450
Sport,Mirassol,sáb.,18:30,2.80,3.35,2.48,444
Fortaleza,Flamengo,sáb.,19:30,5.30,3.80,1.63,403
São Paulo,Bahia,sáb.,21:30,1.91,3.35,4.10,441
Botafogo,Santos,dom.,16:00,1.73,3.70,4.60,438
Grêmio,Juventude,dom.,16:00,1.67,3.60,5.30,459
Bragantino,Vasco,dom.,18:30,2.10,3.65,3.20,454
Palmeiras,Cruzeiro,dom.,20:30,1.80,3.55,4.40,473
Fluminense,Ceará,qua.,19:00,1.68,3.50,5.60,342
Cruzeiro,Vitória,1 de nov.,16:00,1.44,4.20,7.50,319
Santos,Fortaleza,1 de nov.,16:00,1.78,3.60,4.50,308
Mirassol,Botafogo,1 de nov.,18:00,2.25,3.15,3.35,305
Flamengo,Sport,1 de nov.,21:00,1.17,6.75,18.00,325
Bahia,Bragantino,2 de nov.,16:00,1.70,3.75,4.80,326
Ceará,Fluminense,2 de nov.,16:00,2.65,3.05,2.80,347
Corinthians,Grêmio,2 de nov.,16:00,1.85,3.25,4.60,330
Internacional,Atlético-MG,2 de nov.,18:30,1.91,3.30,4.25,322
Juventude,Palmeiras,2 de nov.,18:30,8.00,4.50,1.40,360
Vasco,São Paulo,2 de nov.,20:30,2.15,3.25,3.40,322
